Season,Metro,MLB,NFL,NBA,NHL,MLB_teams,NFL_teams,NBA_teams,NHL_teams
2017,Montreal,0,0,0,1,30,32,30,30
2017,San Diego,1,0,0,0,30,32,30,30
2017,Buffalo,0,1,0,1,30,32,30,30
2016,Boston,1,1,1,1,30,32,30,30
2016,Los Angeles,1,1,2,1,30,32,30,30
2016,Chicago,2,1,1,1,30,32,30,30
2016,New York,2,2,2,2,30,32,30,30
2016,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2016,Pittsburgh,1,1,0,1,30,32,30,30
2016,Miami,1,1,1,1,30,32,30,30
2016,Dallas,1,1,1,1,30,32,30,30
2016,Detroit,1,1,1,1,30,32,30,30
2016,San Antonio,0,0,1,0,30,32,30,30
2016,Denver,1,1,1,1,30,32,30,30
2016,St. Louis,1,0,0,1,30,32,30,30
2016,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2016,Houston,1,1,1,0,30,32,30,30
2016,Toronto,1,0,1,1,30,32,30,30
2016,Washington D.C.,1,1,1,1,30,32,30,30
2016,New Jersey,0,0,0,1,30,32,30,30
2016,Anaheim,1,0,0,1,30,32,30,30
2016,Kansas City,1,1,0,0,30,32,30,30
2016,Philadelphia,1,1,1,1,30,32,30,30
2016,Baltimore,1,1,0,0,30,32,30,30
2016,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2016,Atlanta,1,1,1,0,30,32,30,30
2016,Minneapolis,1,1,1,1,30,32,30,30
2016,Phoenix,1,1,1,1,30,32,30,30
2016,Cleveland,1,1,1,0,30,32,30,30
2016,Indianapolis,0,1,1,0,30,32,30,30
2016,New Orleans,0,1,1,0,30,32,30,30
2016,Seattle,1,1,0,0,30,32,30,30
2016,Research Triangle,0,0,0,1,30,32,30,30
2016,Montreal,0,0,0,1,30,32,30,30
2016,San Diego,1,0,0,0,30,32,30,30
2016,Buffalo,0,1,0,1,30,32,30,30
2015,Boston,1,1,1,1,30,32,30,30
2015,Los Angeles,1,0,2,1,30,32,30,30
2015,Chicago,2,1,1,1,30,32,30,30
2015,New York,2,2,2,2,30,32,30,30
2015,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2015,Pittsburgh,1,1,0,1,30,32,30,30
2015,Miami,1,1,1,1,30,32,30,30
2015,Dallas,1,1,1,1,30,32,30,30
2015,Detroit,1,1,1,1,30,32,30,30
2015,San Antonio,0,0,1,0,30,32,30,30
2015,Denver,1,1,1,1,30,32,30,30
2015,St. Louis,1,1,0,1,30,32,30,30
2015,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2015,Houston,1,1,1,0,30,32,30,30
2015,Toronto,1,0,1,1,30,32,30,30
2015,Washington D.C.,1,1,1,1,30,32,30,30
2015,New Jersey,0,0,0,1,30,32,30,30
2015,Anaheim,1,0,0,1,30,32,30,30
2015,Kansas City,1,1,0,0,30,32,30,30
2015,Philadelphia,1,1,1,1,30,32,30,30
2015,Baltimore,1,1,0,0,30,32,30,30
2015,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2015,Atlanta,1,1,1,0,30,32,30,30
2015,Minneapolis,1,1,1,1,30,32,30,30
2015,Phoenix,1,1,1,1,30,32,30,30
2015,Cleveland,1,1,1,0,30,32,30,30
2015,Indianapolis,0,1,1,0,30,32,30,30
2015,New Orleans,0,1,1,0,30,32,30,30
