vegas_team,espn_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url
Mississippi St Bulldogs,Mississippi St.,344,Mississippi St.,Mississippi St.,Mississippi St,Mississippi St.,Mississippi St.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mississippi_State_Bulldogs_logo.svg/320px-Mississippi_State_Bulldogs_logo.svg.png
Clemson Tigers,Clemson,228,Clemson,Clemson,Clemson,Clemson,Clemson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/251px-Clemson_Tigers_logo.svg.png
Texas Tech Red Raiders,Texas Tech,2641,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/207px-Texas_Tech_Athletics_logo.svg.png
TCU Horned Frogs,TCU,2628,TCU,TCU,TCU,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/320px-TCU_Horned_Frogs_logo.svg.png
Wisconsin Badgers,Wisconsin,275,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Wisconsin_Badgers_logo.svg/254px-Wisconsin_Badgers_logo.svg.png
Utah State Aggies,Utah St.,328,Utah St.,Utah St.,Utah St,Utah St.,Utah St.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Utah_State_Aggies_logo.svg/317px-Utah_State_Aggies_logo.svg.png
Florida Atlantic Owls,FAU,2226,Florida Atlantic,Fla. Atlantic,FL Atlantic,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Florida_Atlantic_Owls_logo.svg/320px-Florida_Atlantic_Owls_logo.svg.png
Colorado Buffaloes,Colorado,38,Colorado,Colorado,Colorado,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/320px-Colorado_Buffaloes_logo.svg.png
Texas Longhorns,Texas,251,Texas,Texas,Texas,Texas,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/320px-Texas_Longhorns_logo.svg.png
New Mexico Lobos,New Mexico,167,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/New_Mexico_Lobos_logo.svg/195px-New_Mexico_Lobos_logo.svg.png
Dayton Flyers,Dayton,2168,Dayton,Dayton,Dayton,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/320px-Dayton_Flyers_logo.svg.png
Villanova Wildcats,Villanova,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/269px-Villanova_Wildcats_logo.svg.png
Oklahoma Sooners,Oklahoma,,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/186px-Oklahoma_Sooners_logo.svg.png
Colorado St Rams,Colorado St.,36,Colorado St.,Colorado St.,Colorado St,Colorado St.,Colorado St.,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/240px-Colorado_State_Rams_logo.svg.png
Utah Utes,Utah,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Utah_Utes_logo.svg/263px-Utah_Utes_logo.svg.png
St. John's Red Storm,St. John's,,St. John's,St. John's,St. John's,St. John's,St. John's,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png
Wake Forest Demon Deacons,Wake Forest,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Wake_Forest_University_Athletic_logo.svg/320px-Wake_Forest_University_Athletic_logo.svg.png
Northwestern Wildcats,Northwestern,77,Northwestern,Northwestern,Northwestern,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/156px-Northwestern_Wildcats_logo.svg.png
Nebraska Cornhuskers,Nebraska,158,Nebraska,Nebraska,Nebraska,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Nebraska_Cornhuskers_logo.svg/240px-Nebraska_Cornhuskers_logo.svg.png
Nevada Wolf Pack,Nevada,2440,Nevada,Nevada,Nevada,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/320px-Nevada_Wolf_Pack_logo.svg.png
Boise State Broncos,Boise State,68,Boise State,Boise St.,Boise St,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Boise_State_%22B%22_logo.svg/150px-Boise_State_%22B%22_logo.svg.png
Indiana St Sycamores,Indiana St.,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Indiana_State_Sycamores_logo.svg/250px-Indiana_State_Sycamores_logo.svg.png
Virginia Cavaliers,Virginia,258,Virginia,Virginia,Virginia,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Virginia_Cavaliers_sabre.svg/320px-Virginia_Cavaliers_sabre.svg.png
Oregon Ducks,Oregon,2483,Oregon,Oregon,Oregon,Oregon,Oregon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Oregon_Ducks_logo.svg/290px-Oregon_Ducks_logo.svg.png
Cincinnati Bearcats,Cincinnati,,,,#N/A,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/2/2c/Cincinnati_Bearcats_logo.svg
Pittsburgh Panthers,Pittsburgh,,,,#N/A,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/320px-Pitt_Panthers_wordmark.svg.png
Butler Bulldogs,Butler,,,,#N/A,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/245px-Butler_Bulldogs_logo.svg.png
Texas A&M Aggies,Texas A&M,245,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/292px-Texas_A%26M_University_logo.svg.png
Iowa Hawkeyes,Iowa,,Iowa,Iowa,Iowa,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/320px-Iowa_Hawkeyes_logo.svg.png
Minnesota Golden Gophers,Minnesota,,,Minnesota,#N/A,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/320px-Minnesota_Golden_Gophers_logo.svg.png
Drake Bulldogs,Drake,2181,Drake,Drake,Drake,Drake,Drake,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Drake_Bulldogs_%22D%22_logo.svg/261px-Drake_Bulldogs_%22D%22_logo.svg.png
Bradley Braves,Bradley,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/200px-Bradley_Braves_logo.svg.png
Grand Canyon Antelopes,Grand Canyon,2253,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Grand_Canyon_Antelopes_logo.svg/320px-Grand_Canyon_Antelopes_logo.svg.png
McNeese Cowboys,McNeese,2377,McNeese,McNeese,McNeese St,McNeese,McNeese,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/McNeese_State_Athletics_logo.svg/224px-McNeese_State_Athletics_logo.svg.png
UC Irvine Anteaters,UC Irvine,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/UC_Irvine_Anteaters_logo.svg/227px-UC_Irvine_Anteaters_logo.svg.png
South Florida Bulls,South Fla.,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/300px-South_Florida_Bulls_logo.svg.png
SMU Mustangs,SMU,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/320px-SMU_Mustang_logo.svg.png
Providence Friars,Providence,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif
Ohio State Buckeyes,Ohio St.,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/244px-Ohio_State_Buckeyes_logo.svg.png
Stanford Cardinal,Stanford,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png
Syracuse Orange,Syracuse,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png
Virginia Tech Hokies,Virginia Tech,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Virginia_Tech_Hokies_logo.svg/320px-Virginia_Tech_Hokies_logo.svg.png
UCLA Bruins,UCLA,,UCLA,UCLA,UCLA,UCLA,UCLA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/UCLA_Bruins_script.svg/320px-UCLA_Bruins_script.svg.png
Ole Miss Rebels,Mississippi,,Ole Miss,Mississippi,Mississippi,Mississippi,Mississippi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/320px-Ole_Miss_Rebels_logo.svg.png
Georgia Bulldogs,Georgia,,Georgia,,,Georgia,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/320px-Georgia_Athletics_logo.svg.png
Kansas St Wildcats,Kansas St.,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Kansas_State_Wildcats_logo.svg/320px-Kansas_State_Wildcats_logo.svg.png
Maryland Terrapins,Maryland,,Maryland,Maryland,Maryland,Maryland,Maryland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maryland_Terrapins_logo.svg/219px-Maryland_Terrapins_logo.svg.png
James Madison Dukes,James Madison,256,James Madison,James Madison,James Madison,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/James_Madison_University_Athletics_logo.svg/320px-James_Madison_University_Athletics_logo.svg.png
Yale Bulldogs,Yale,43,Yale,Yale,Yale,Yale,Yale,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Yale_Bulldogs_script.svg/1024px-Yale_Bulldogs_script.svg.png
Xavier Musketeers,Xavier,,Xavier,,#N/A,Xavier,Xavier,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Xavier_Musketeers_logo.svg/301px-Xavier_Musketeers_logo.svg.png
NC State Wolfpack,NC State,152,North Carolina State,NC State,NC State,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/202px-North_Carolina_State_University_Athletic_logo.svg.png
Boston College Eagles,Boston College,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/264px-Boston_College_Eagles_logo.svg.png
Washington Huskies,Washington,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/320px-Washington_Huskies_logo.svg.png
LSU Tigers,LSU,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/220px-LSU_Athletics_logo.svg.png
Arkansas Razorbacks,Arkansas,,Arkansas,,,Arkansas,Arkansas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/200px-Arkansas_Razorbacks_logo.svg.png
UCF Knights,UCF,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/299px-UCF_Knights_logo.svg.png
Penn State Nittany Lions,Penn St.,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/320px-Penn_State_Nittany_Lions_logo.svg.png
Memphis Tigers,Memphis,,Memphis,Memphis,Memphis,Memphis,Memphis,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&h=200&w=200
VCU Rams,VCU,,VCU,,,VCU,VCU,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/VCU_Rams_logo.svg/320px-VCU_Rams_logo.svg.png
North Texas Mean Green,North Texas,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/215px-North_Texas_Mean_Green_logo.svg.png
Charleston Cougars,Charleston,232,Charleston,Col. of Charleston,Col Charleston,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/206px-College_of_Charleston_Cougars_logo.svg.png
Miami Hurricanes,Miami (FL),,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/320px-Miami_Hurricanes_logo.svg.png
Appalachian St Mountaineers,App State,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/200px-Appalachian_State_Mountaineers_logo.svg.png
UNLV Rebels,UNLV,,,,,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/UNLV_Rebels_wordmark.svg/320px-UNLV_Rebels_wordmark.svg.png
Duquesne Dukes,Duquesne,2184,Duquesne,Duquesne,Duquesne,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Duquesne_Dukes.svg/115px-Duquesne_Dukes.svg.png
UAB Blazers,UAB,5,UAB,UAB,UAB,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/UAB_Blazers_logo.svg/283px-UAB_Blazers_logo.svg.png
Samford Bulldogs,Samford,2535,Samford,Samford,Samford,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/320px-Samford_Bulldogs_logo.svg.png
Morehead St Eagles,Morehead St,2413,Morehead State,Morehead St.,Morehead St,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Morehead_State_Eagles_logo.svg/243px-Morehead_State_Eagles_logo.svg.png
Oakland Golden Grizzlies,Oakland,2473,Oakland,Oakland,Oakland,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Oakland_Golden_Grizzlies_logo.svg/303px-Oakland_Golden_Grizzlies_logo.svg.png
Vermont Catamounts,Vermont,261,Vermont,Vermont,Vermont,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Vermont_Catamounts_logo.svg/246px-Vermont_Catamounts_logo.svg.png
Akron Zips,Akron,2006,Akron,Akron,Akron,Akron,Akron,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Akron_Zips_logo.svg/200px-Akron_Zips_logo.svg.png
Long Beach St 49ers,Long Beach St,299,Long Beach State,Long Beach St.,Long Beach St,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Long_Beach_State_Athletics_logo.svg/197px-Long_Beach_State_Athletics_logo.svg.png
Grambling St Tigers,Grambling St,2755,Grambling State,Grambling,Grambling,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Grambling_State_Tigers_logo.svg/320px-Grambling_State_Tigers_logo.svg.png
Longwood Lancers,Longwood,2344,Longwood,Longwood,Longwood,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Longwood_Lancers_logo.svg/320px-Longwood_Lancers_logo.svg.png
Stetson Hatters,Stetson,56,Stetson,Stetson,Stetson,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/1/17/Stetson_Hatters_logo_%282018%29.png
Wagner Seahawks,Wagner,2681,Wagner,Wagner,Wagner,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Wagner_Seahawks_logo.svg/320px-Wagner_Seahawks_logo.svg.png
Colgate Raiders,Colgate,2142,Colgate,Colgate,Colgate,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Colgate_Raiders_logo.svg/189px-Colgate_Raiders_logo.svg.png
Montana St Bobcats,Montana St,147,Montana State,Montana St.,Montana St,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Montana_State_Bobcats_logo.svg/320px-Montana_State_Bobcats_logo.svg.png
Howard Bison,Howard,47,Howard,Howard,Howard,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Howard_Bison_logo.svg/186px-Howard_Bison_logo.svg.png
Saint Peter's Peacocks,Saint Peters,2612,St. Peter's,Saint Peter's,St Peter's,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/9/97/Saint_Peter%27s_Peacocks_logo.svg
Western Kentucky Hilltoppers,Western KY,98,Western Kentucky,Western Ky.,WKU,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/WKU_Athletics_logo.svg/320px-WKU_Athletics_logo.svg.png
South Dakota St Jackrabbits,S Dakota St,2571,South Dakota State,South Dakota St.,S Dakota St,#N/A,#N/A,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/South_Dakota_State_Jackrabbits_logo.svg/315px-South_Dakota_State_Jackrabbits_logo.svg.png
Missouri Tigers,Missouri,,Missouri,,,Missouri,Missouri,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Missouri_Tigers_logo.svg/315px-Missouri_Tigers_logo.svg.png
Bryant Bulldogs,Bryant,,Bryant,,,Bryant,Bryant,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bryant_Bulldogs_logo.svg/296px-Bryant_Bulldogs_logo.svg.png
High Point Panthers,High Point,,High Point,,,High Point,High Point,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/High_Point_Panthers_logo.svg/320px-High_Point_Panthers_logo.svg.png
Liberty Flames,Liberty,,Liberty,,,Liberty,Liberty,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/266px-Liberty_Flames_logo.svg.png
Lipscomb Bisons,Lipscomb,,Lipscomb,,,Lipscomb,Lipscomb,https://upload.wikimedia.org/wikipedia/commons/1/1c/Lipscomb_L.png
Montana Grizzlies,Montana,,Montana,,,Montana,Montana,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Montana_Griz_logo.svg/320px-Montana_Griz_logo.svg.png
Mt. St. Mary's Mountaineers,Mount St. Mary's,,Mount St. Mary's (MD),,,Mount St. Mary's,Mount St. Mary's,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Mount_St._Mary%27s_Mountaineers_logo.svg/320px-Mount_St._Mary%27s_Mountaineers_logo.svg.png
UNC Wilmington Seahawks,UNC Wilmington,,UNC Wilmington,,,UNC Wilmington,UNC Wilmington,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/UNC_Wilmington_Seahawks_logo.svg/211px-UNC_Wilmington_Seahawks_logo.svg.png
Omaha Mavericks,Nebraska Omaha,,Omaha,,,Nebraska Omaha,Nebraska Omaha,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Omaha_Mavericks_logo.svg/246px-Omaha_Mavericks_logo.svg.png
Norfolk St Spartans,Norfolk St.,,Norfolk St.,,,Norfolk St.,Norfolk St.,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Norfork_State_Spartans_logo.svg/240px-Norfork_State_Spartans_logo.svg.png
Robert Morris Colonials,Robert Morris,,Robert Morris,,,Robert Morris,Robert Morris,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Robert_Morris_Colonials_logo.svg/208px-Robert_Morris_Colonials_logo.svg.png
SIU-Edwardsville Cougars,SIUE,,SIU Edwardsville,,,SIUE,SIUE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/SIUE_Cougars_logo.svg/400px-SIUE_Cougars_logo.svg.png
St. Francis (PA) Red Flash,Saint Francis,,Saint Francis (PA),,,Saint Francis,Saint Francis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint_Francis_Red_Flash_logo.svg/320px-Saint_Francis_Red_Flash_logo.svg.png
Troy Trojans,Troy,,Troy,,,Troy,Troy,https://upload.wikimedia.org/wikipedia/commons/3/34/Troy_Trojans_logo.svg
Wofford Terriers,Wofford,,Wofford,,,Wofford,Wofford,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Wofford_Terriers_logo.svg/217px-Wofford_Terriers_logo.svg.png
Vanderbilt Commodores,Vanderbilt,,Vanderbilt,,,Vanderbilt,Vanderbilt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Vanderbilt_Commodores_logo.svg/246px-Vanderbilt_Commodores_logo.svg.png
UC San Diego Tritons,UC San Diego,,UC San Diego,,,UC San Diego,UC San Diego,https://ucsdtritons.com/images/logos/site/site.png
Alabama St Hornets,Alabama St.,,Alabama St.,,,Alabama St.,Alabama St.,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/320px-Alabama_State_Hornets_logo.svg.png
American Eagles,American,,American,,,American,American,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/240px-American_Eagles_logo.svg.png
Louisville Cardinals,Louisville,,Louisville,,,Louisville,Louisville,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/218px-Louisville_Cardinals_logo.svg.png
