Date,Visitor,Home
4/3/22,Vegas Golden Knights,Vancouver Canucks
4/3/22,Minnesota Wild,Washington Capitals
4/4/22,Boston Bruins,Columbus Blue Jackets
4/4/22,Calgary Flames,Los Angeles Kings
4/4/22,Arizona Coyotes,St. Louis Blues
4/4/22,Toronto Maple Leafs,Tampa Bay Lightning
4/5/22,Carolina Hurricanes,Buffalo Sabres
4/5/22,New York Islanders,Dallas Stars
4/5/22,Boston Bruins,Detroit Red Wings
4/5/22,Toronto Maple Leafs,Florida Panthers
4/5/22,Ottawa Senators,Montreal Canadiens
4/5/22,New York Rangers,New Jersey Devils
4/5/22,Minnesota Wild,Nashville Predators
4/5/22,Columbus Blue Jackets,Philadelphia Flyers
4/5/22,Colorado Avalanche,Pittsburgh Penguins
4/5/22,Edmonton Oilers,San Jose Sharks
4/6/22,Calgary Flames,Anaheim Ducks
4/6/22,Seattle Kraken,St. Louis Blues
4/6/22,Vancouver Canucks,Vegas Golden Knights
4/6/22,Detroit Red Wings,Winnipeg Jets
4/6/22,Tampa Bay Lightning,Washington Capitals
4/7/22,Vancouver Canucks,Arizona Coyotes
4/7/22,Buffalo Sabres,Carolina Hurricanes
4/7/22,Philadelphia Flyers,Columbus Blue Jackets
4/7/22,Seattle Kraken,Chicago Blackhawks
4/7/22,Toronto Maple Leafs,Dallas Stars
4/7/22,Edmonton Oilers,Los Angeles Kings
4/7/22,Pittsburgh Penguins,New York Rangers
4/7/22,New Jersey Devils,Ottawa Senators
4/7/22,Calgary Flames,San Jose Sharks
4/8/22,New York Islanders,Carolina Hurricanes
4/8/22,Buffalo Sabres,Florida Panthers
4/8/22,Minnesota Wild,St. Louis Blues
4/8/22,Boston Bruins,Tampa Bay Lightning
4/8/22,Colorado Avalanche,Winnipeg Jets
4/9/22,New Jersey Devils,Dallas Stars
4/9/22,Columbus Blue Jackets,Detroit Red Wings
4/9/22,Colorado Avalanche,Edmonton Oilers
4/9/22,Florida Panthers,Nashville Predators
4/9/22,Ottawa Senators,New York Rangers
4/9/22,Anaheim Ducks,Philadelphia Flyers
4/9/22,Washington Capitals,Pittsburgh Penguins
4/9/22,Calgary Flames,Seattle Kraken
4/9/22,New York Islanders,St. Louis Blues
4/9/22,Montreal Canadiens,Toronto Maple Leafs
4/9/22,San Jose Sharks,Vancouver Canucks
4/9/22,Arizona Coyotes,Vegas Golden Knights
4/10/22,Anaheim Ducks,Carolina Hurricanes
4/10/22,Dallas Stars,Chicago Blackhawks
4/10/22,Los Angeles Kings,Minnesota Wild
4/10/22,Winnipeg Jets,Ottawa Senators
4/10/22,Nashville Predators,Pittsburgh Penguins
4/10/22,Vegas Golden Knights,San Jose Sharks
4/10/22,Buffalo Sabres,Tampa Bay Lightning
4/10/22,Boston Bruins,Washington Capitals
4/11/22,Winnipeg Jets,Montreal Canadiens
4/12/22,New Jersey Devils,Arizona Coyotes
4/12/22,St. Louis Blues,Boston Bruins
4/12/22,Seattle Kraken,Calgary Flames
4/12/22,Los Angeles Kings,Chicago Blackhawks
4/12/22,Tampa Bay Lightning,Dallas Stars
4/12/22,Ottawa Senators,Detroit Red Wings
4/12/22,Anaheim Ducks,Florida Panthers
4/12/22,Edmonton Oilers,Minnesota Wild
4/12/22,San Jose Sharks,Nashville Predators
4/12/22,Carolina Hurricanes,New York Rangers
4/12/22,Columbus Blue Jackets,Pittsburgh Penguins
4/12/22,Buffalo Sabres,Toronto Maple Leafs
4/12/22,Vegas Golden Knights,Vancouver Canucks
4/12/22,Philadelphia Flyers,Washington Capitals
4/13/22,Montreal Canadiens,Columbus Blue Jackets
4/13/22,Los Angeles Kings,Colorado Avalanche
4/13/22,New York Rangers,Philadelphia Flyers
4/13/22,Seattle Kraken,Winnipeg Jets
4/14/22,Ottawa Senators,Boston Bruins
4/14/22,St. Louis Blues,Buffalo Sabres
4/14/22,Detroit Red Wings,Carolina Hurricanes
4/14/22,Vegas Golden Knights,Calgary Flames
4/14/22,San Jose Sharks,Chicago Blackhawks
4/14/22,New Jersey Devils,Colorado Avalanche
4/14/22,Minnesota Wild,Dallas Stars
4/14/22,Edmonton Oilers,Nashville Predators
4/14/22,New York Islanders,Pittsburgh Penguins
4/14/22,Anaheim Ducks,Tampa Bay Lightning
4/14/22,Washington Capitals,Toronto Maple Leafs
4/14/22,Arizona Coyotes,Vancouver Canucks
4/15/22,Winnipeg Jets,Florida Panthers
4/15/22,New York Islanders,Montreal Canadiens
4/16/22,Pittsburgh Penguins,Boston Bruins
4/16/22,Philadelphia Flyers,Buffalo Sabres
4/16/22,Arizona Coyotes,Calgary Flames
4/16/22,Carolina Hurricanes,Colorado Avalanche
4/16/22,San Jose Sharks,Dallas Stars
4/16/22,Vegas Golden Knights,Edmonton Oilers
4/16/22,Columbus Blue Jackets,Los Angeles Kings
4/16/22,Washington Capitals,Montreal Canadiens
4/16/22,Chicago Blackhawks,Nashville Predators
4/16/22,Detroit Red Wings,New York Rangers
4/16/22,Toronto Maple Leafs,Ottawa Senators
4/16/22,New Jersey Devils,Seattle Kraken
4/16/22,Minnesota Wild,St. Louis Blues
4/16/22,Winnipeg Jets,Tampa Bay Lightning
4/17/22,Columbus Blue Jackets,Anaheim Ducks
4/17/22,Florida Panthers,Detroit Red Wings
4/17/22,San Jose Sharks,Minnesota Wild
4/17/22,St. Louis Blues,Nashville Predators
4/17/22,Toronto Maple Leafs,New York Islanders
4/17/22,Buffalo Sabres,Philadelphia Flyers
4/18/22,Carolina Hurricanes,Arizona Coyotes
4/18/22,Washington Capitals,Colorado Avalanche
4/18/22,Dallas Stars,Vancouver Canucks
4/18/22,New Jersey Devils,Vegas Golden Knights
4/19/22,Los Angeles Kings,Anaheim Ducks
4/19/22,Minnesota Wild,Montreal Canadiens
4/19/22,Florida Panthers,New York Islanders
4/19/22,Winnipeg Jets,New York Rangers
4/19/22,Columbus Blue Jackets,San Jose Sharks
4/19/22,Boston Bruins,St. Louis Blues
4/19/22,Detroit Red Wings,Tampa Bay Lightning
4/19/22,Philadelphia Flyers,Toronto Maple Leafs
4/20/22,Chicago Blackhawks,Arizona Coyotes
4/20/22,Ottawa Senators,Buffalo Sabres
4/20/22,Dallas Stars,Edmonton Oilers
4/20/22,Colorado Avalanche,Seattle Kraken
4/20/22,Washington Capitals,Vegas Golden Knights
4/21/22,Winnipeg Jets,Carolina Hurricanes
4/21/22,Dallas Stars,Calgary Flames
4/21/22,Detroit Red Wings,Florida Panthers
4/21/22,Chicago Blackhawks,Los Angeles Kings
4/21/22,Vancouver Canucks,Minnesota Wild
4/21/22,Philadelphia Flyers,Montreal Canadiens
4/21/22,Buffalo Sabres,New Jersey Devils
4/21/22,New York Rangers,New York Islanders
4/21/22,Boston Bruins,Pittsburgh Penguins
4/21/22,St. Louis Blues,San Jose Sharks
4/21/22,Toronto Maple Leafs,Tampa Bay Lightning
4/22/22,Washington Capitals,Arizona Coyotes
4/22/22,Ottawa Senators,Columbus Blue Jackets
4/22/22,Colorado Avalanche,Edmonton Oilers
4/22/22,Seattle Kraken,Minnesota Wild
4/23/22,St. Louis Blues,Arizona Coyotes
4/23/22,New York Rangers,Boston Bruins
4/23/22,New York Islanders,Buffalo Sabres
4/23/22,Vancouver Canucks,Calgary Flames
4/23/22,Seattle Kraken,Dallas Stars
4/23/22,Pittsburgh Penguins,Detroit Red Wings
4/23/22,Toronto Maple Leafs,Florida Panthers
4/23/22,Anaheim Ducks,Los Angeles Kings
4/23/22,Carolina Hurricanes,New Jersey Devils
4/23/22,Montreal Canadiens,Ottawa Senators
4/23/22,Chicago Blackhawks,San Jose Sharks
4/23/22,Nashville Predators,Tampa Bay Lightning
4/24/22,St. Louis Blues,Anaheim Ducks
4/24/22,Edmonton Oilers,Columbus Blue Jackets
4/24/22,Tampa Bay Lightning,Florida Panthers
4/24/22,Detroit Red Wings,New Jersey Devils
4/24/22,Minnesota Wild,Nashville Predators
4/24/22,Carolina Hurricanes,New York Islanders
4/24/22,Boston Bruins,New York Rangers
4/24/22,Pittsburgh Penguins,Philadelphia Flyers
4/24/22,San Jose Sharks,Vegas Golden Knights
4/24/22,Colorado Avalanche,Winnipeg Jets
4/24/22,Toronto Maple Leafs,Washington Capitals
4/25/22,Philadelphia Flyers,Chicago Blackhawks
4/26/22,Florida Panthers,Boston Bruins
4/26/22,St. Louis Blues,Colorado Avalanche
4/26/22,Vegas Golden Knights,Dallas Stars
4/26/22,Toronto Maple Leafs,Detroit Red Wings
4/26/22,Arizona Coyotes,Minnesota Wild
4/26/22,Buffalo Sabres,Montreal Canadiens
4/26/22,Calgary Flames,Nashville Predators
4/26/22,Carolina Hurricanes,New York Rangers
4/26/22,New Jersey Devils,Ottawa Senators
4/26/22,Edmonton Oilers,Pittsburgh Penguins
4/26/22,Anaheim Ducks,San Jose Sharks
4/26/22,Columbus Blue Jackets,Tampa Bay Lightning
4/26/22,Seattle Kraken,Vancouver Canucks
4/26/22,New York Islanders,Washington Capitals
4/27/22,Vegas Golden Knights,Chicago Blackhawks
4/27/22,Arizona Coyotes,Dallas Stars
4/27/22,Los Angeles Kings,Seattle Kraken
4/27/22,Philadelphia Flyers,Winnipeg Jets
4/28/22,Buffalo Sabres,Boston Bruins
4/28/22,New Jersey Devils,Carolina Hurricanes
4/28/22,Nashville Predators,Colorado Avalanche
4/28/22,San Jose Sharks,Edmonton Oilers
4/28/22,Calgary Flames,Minnesota Wild
4/28/22,Tampa Bay Lightning,New York Islanders
4/28/22,Florida Panthers,Ottawa Senators
4/28/22,Los Angeles Kings,Vancouver Canucks
4/28/22,Columbus Blue Jackets,Washington Capitals
4/29/22,Nashville Predators,Arizona Coyotes
4/29/22,Chicago Blackhawks,Buffalo Sabres
4/29/22,Tampa Bay Lightning,Columbus Blue Jackets
4/29/22,Anaheim Ducks,Dallas Stars
4/29/22,Vancouver Canucks,Edmonton Oilers
4/29/22,Colorado Avalanche,Minnesota Wild
4/29/22,Florida Panthers,Montreal Canadiens
4/29/22,Detroit Red Wings,New Jersey Devils
4/29/22,Washington Capitals,New York Rangers
4/29/22,Ottawa Senators,Philadelphia Flyers
4/29/22,Carolina Hurricanes,Pittsburgh Penguins
4/29/22,San Jose Sharks,Seattle Kraken
4/29/22,Vegas Golden Knights,St. Louis Blues
4/29/22,Boston Bruins,Toronto Maple Leafs
4/29/22,Calgary Flames,Winnipeg Jets
