Date,Visitor,Home
11/18/21,Tampa Bay Lightning,Philadelphia Flyers
11/18/21,San Jose Sharks,St. Louis Blues
11/18/21,New York Rangers,Toronto Maple Leafs
11/18/21,Detroit Red Wings,Vegas Golden Knights
11/19/21,Colorado Avalanche,Seattle Kraken
11/19/21,Winnipeg Jets,Vancouver Canucks
11/20/21,Detroit Red Wings,Arizona Coyotes
11/20/21,St. Louis Blues,Dallas Stars
11/20/21,Chicago Blackhawks,Edmonton Oilers
11/20/21,Minnesota Wild,Florida Panthers
11/20/21,Carolina Hurricanes,Los Angeles Kings
11/20/21,Nashville Predators,Montreal Canadiens
11/20/21,Calgary Flames,New York Islanders
11/20/21,New York Rangers,Ottawa Senators
11/20/21,Boston Bruins,Philadelphia Flyers
11/20/21,Washington Capitals,San Jose Sharks
11/20/21,New Jersey Devils,Tampa Bay Lightning
11/20/21,Pittsburgh Penguins,Toronto Maple Leafs
11/20/21,Columbus Blue Jackets,Vegas Golden Knights
11/21/21,Calgary Flames,Boston Bruins
11/21/21,Arizona Coyotes,Los Angeles Kings
11/21/21,Toronto Maple Leafs,New York Islanders
11/21/21,Buffalo Sabres,New York Rangers
11/21/21,Washington Capitals,Seattle Kraken
11/21/21,Minnesota Wild,Tampa Bay Lightning
11/21/21,Chicago Blackhawks,Vancouver Canucks
11/22/21,Columbus Blue Jackets,Buffalo Sabres
11/22/21,Ottawa Senators,Colorado Avalanche
11/22/21,Anaheim Ducks,Nashville Predators
11/22/21,Carolina Hurricanes,San Jose Sharks
11/22/21,Vegas Golden Knights,St. Louis Blues
11/22/21,Pittsburgh Penguins,Winnipeg Jets
11/23/21,Chicago Blackhawks,Calgary Flames
11/23/21,Edmonton Oilers,Dallas Stars
11/23/21,Philadelphia Flyers,Tampa Bay Lightning
11/24/21,Edmonton Oilers,Arizona Coyotes
11/24/21,Boston Bruins,Buffalo Sabres
11/24/21,Winnipeg Jets,Columbus Blue Jackets
11/24/21,Anaheim Ducks,Colorado Avalanche
11/24/21,St. Louis Blues,Detroit Red Wings
11/24/21,Philadelphia Flyers,Florida Panthers
11/24/21,Toronto Maple Leafs,Los Angeles Kings
11/24/21,Minnesota Wild,New Jersey Devils
11/24/21,Vegas Golden Knights,Nashville Predators
11/24/21,New York Rangers,New York Islanders
11/24/21,Vancouver Canucks,Pittsburgh Penguins
11/24/21,Carolina Hurricanes,Seattle Kraken
11/24/21,Ottawa Senators,San Jose Sharks
11/24/21,Montreal Canadiens,Washington Capitals
11/26/21,Ottawa Senators,Anaheim Ducks
11/26/21,New York Rangers,Boston Bruins
11/26/21,Montreal Canadiens,Buffalo Sabres
11/26/21,Vancouver Canucks,Columbus Blue Jackets
11/26/21,St. Louis Blues,Chicago Blackhawks
11/26/21,Colorado Avalanche,Dallas Stars
11/26/21,Winnipeg Jets,Minnesota Wild
11/26/21,New Jersey Devils,Nashville Predators
11/26/21,Pittsburgh Penguins,New York Islanders
11/26/21,Carolina Hurricanes,Philadelphia Flyers
11/26/21,Toronto Maple Leafs,San Jose Sharks
11/26/21,Seattle Kraken,Tampa Bay Lightning
11/26/21,Florida Panthers,Washington Capitals
11/27/21,Dallas Stars,Arizona Coyotes
11/27/21,Winnipeg Jets,Calgary Flames
11/27/21,Nashville Predators,Colorado Avalanche
11/27/21,Buffalo Sabres,Detroit Red Wings
11/27/21,Seattle Kraken,Florida Panthers
11/27/21,Ottawa Senators,Los Angeles Kings
11/27/21,Montreal Canadiens,Pittsburgh Penguins
11/27/21,Columbus Blue Jackets,St. Louis Blues
11/27/21,Edmonton Oilers,Vegas Golden Knights
11/28/21,Toronto Maple Leafs,Anaheim Ducks
11/28/21,Vancouver Canucks,Boston Bruins
11/28/21,Washington Capitals,Carolina Hurricanes
11/28/21,San Jose Sharks,Chicago Blackhawks
11/28/21,Tampa Bay Lightning,Minnesota Wild
11/28/21,Philadelphia Flyers,New Jersey Devils
11/28/21,New York Islanders,New York Rangers
11/29/21,Seattle Kraken,Buffalo Sabres
11/29/21,Pittsburgh Penguins,Calgary Flames
11/29/21,Vancouver Canucks,Montreal Canadiens
11/29/21,Arizona Coyotes,Winnipeg Jets
11/30/21,Detroit Red Wings,Boston Bruins
11/30/21,Carolina Hurricanes,Dallas Stars
11/30/21,Washington Capitals,Florida Panthers
11/30/21,Anaheim Ducks,Los Angeles Kings
11/30/21,Arizona Coyotes,Minnesota Wild
11/30/21,San Jose Sharks,New Jersey Devils
11/30/21,Columbus Blue Jackets,Nashville Predators
11/30/21,New York Islanders,Philadelphia Flyers
11/30/21,Tampa Bay Lightning,St. Louis Blues
12/1/21,Vegas Golden Knights,Anaheim Ducks
12/1/21,Seattle Kraken,Detroit Red Wings
12/1/21,Pittsburgh Penguins,Edmonton Oilers
12/1/21,Philadelphia Flyers,New York Rangers
12/1/21,Vancouver Canucks,Ottawa Senators
12/1/21,Colorado Avalanche,Toronto Maple Leafs
12/2/21,Ottawa Senators,Carolina Hurricanes
12/2/21,Columbus Blue Jackets,Dallas Stars
12/2/21,Buffalo Sabres,Florida Panthers
12/2/21,Calgary Flames,Los Angeles Kings
12/2/21,New Jersey Devils,Minnesota Wild
12/2/21,Colorado Avalanche,Montreal Canadiens
12/2/21,Boston Bruins,Nashville Predators
12/2/21,San Jose Sharks,New York Islanders
12/2/21,St. Louis Blues,Tampa Bay Lightning
12/2/21,Chicago Blackhawks,Washington Capitals
12/3/21,Calgary Flames,Anaheim Ducks
12/3/21,Vegas Golden Knights,Arizona Coyotes
12/3/21,San Jose Sharks,New York Rangers
12/3/21,Edmonton Oilers,Seattle Kraken
12/3/21,New Jersey Devils,Winnipeg Jets
12/4/21,Tampa Bay Lightning,Boston Bruins
12/4/21,Buffalo Sabres,Carolina Hurricanes
12/4/21,New York Islanders,Detroit Red Wings
12/4/21,St. Louis Blues,Florida Panthers
12/4/21,Toronto Maple Leafs,Minnesota Wild
12/4/21,Montreal Canadiens,Nashville Predators
12/4/21,Chicago Blackhawks,New York Rangers
12/4/21,Colorado Avalanche,Ottawa Senators
12/4/21,Pittsburgh Penguins,Vancouver Canucks
12/4/21,Columbus Blue Jackets,Washington Capitals
12/5/21,San Jose Sharks,Columbus Blue Jackets
12/5/21,Los Angeles Kings,Edmonton Oilers
12/5/21,Chicago Blackhawks,New York Islanders
12/5/21,Tampa Bay Lightning,Philadelphia Flyers
12/5/21,Calgary Flames,Vegas Golden Knights
12/5/21,Toronto Maple Leafs,Winnipeg Jets
12/6/21,Arizona Coyotes,Dallas Stars
12/6/21,Colorado Avalanche,Philadelphia Flyers
12/6/21,Pittsburgh Penguins,Seattle Kraken
12/6/21,Los Angeles Kings,Vancouver Canucks
12/6/21,Anaheim Ducks,Washington Capitals
12/7/21,Anaheim Ducks,Buffalo Sabres
12/7/21,New York Rangers,Chicago Blackhawks
12/7/21,Nashville Predators,Detroit Red Wings
12/7/21,Minnesota Wild,Edmonton Oilers
12/7/21,Tampa Bay Lightning,Montreal Canadiens
12/7/21,New York Islanders,Ottawa Senators
12/7/21,Calgary Flames,San Jose Sharks
12/7/21,Florida Panthers,St. Louis Blues
12/7/21,Columbus Blue Jackets,Toronto Maple Leafs
12/7/21,Carolina Hurricanes,Winnipeg Jets
12/8/21,Philadelphia Flyers,New Jersey Devils
12/8/21,Colorado Avalanche,New York Rangers
12/8/21,Boston Bruins,Vancouver Canucks
12/8/21,Dallas Stars,Vegas Golden Knights
12/9/21,Anaheim Ducks,Columbus Blue Jackets
12/9/21,Carolina Hurricanes,Calgary Flames
12/9/21,Boston Bruins,Edmonton Oilers
12/9/21,Dallas Stars,Los Angeles Kings
12/9/21,Chicago Blackhawks,Montreal Canadiens
12/9/21,Nashville Predators,New York Islanders
12/9/21,Winnipeg Jets,Seattle Kraken
12/9/21,Minnesota Wild,San Jose Sharks
12/9/21,Detroit Red Wings,St. Louis Blues
12/9/21,Tampa Bay Lightning,Toronto Maple Leafs
12/10/21,Florida Panthers,Arizona Coyotes
12/10/21,New York Rangers,Buffalo Sabres
12/10/21,Detroit Red Wings,Colorado Avalanche
12/10/21,Nashville Predators,New Jersey Devils
12/10/21,Winnipeg Jets,Vancouver Canucks
12/10/21,Philadelphia Flyers,Vegas Golden Knights
12/10/21,Pittsburgh Penguins,Washington Capitals
12/11/21,Philadelphia Flyers,Arizona Coyotes
12/11/21,Washington Capitals,Buffalo Sabres
12/11/21,Boston Bruins,Calgary Flames
12/11/21,Carolina Hurricanes,Edmonton Oilers
12/11/21,Minnesota Wild,Los Angeles Kings
12/11/21,New Jersey Devils,New York Islanders
12/11/21,Tampa Bay Lightning,Ottawa Senators
